GeneID	Classification	Specific tissues	Tau
F8388_011748	Tissue-Specific	Leaf	0.979798762617468
F8388_011845	Group-Enriched	Root; Seed	0.92486704404448
F8388_011864	Expressed-In-All		0.598198427937137
F8388_012056	Tissue-Specific	Root	0.984002341828956
F8388_012281	Expressed-In-All		0.500116367620972
F8388_012405	Mixed		0.887858574275911
F8388_012463	Expressed-In-All		0.560675351516358
F8388_012477	Expressed-In-All		0.557328167197934
F8388_012501	Mixed		0.793481301812634
F8388_012613	Tissue-Specific	Root	0.984822407487527
F8388_012797	Mixed		0.844014304929324
F8388_012854	Expressed-In-All		0.60384413818704
F8388_013189	Low_expressed		
F8388_013219	Low_expressed		
F8388_013229	Low_expressed		
F8388_013236	Expressed-In-All		0.739276371749002
F8388_013237	Low_expressed		
F8388_013238	Expressed-In-All		0.701556080021562
F8388_013813	Tissue-Specific	Root	0.989700835834491
F8388_013900	Expressed-In-All		0.427298398785201
F8388_013902	Expressed-In-All		0.878212104212135
F8388_013955	Mixed		0.764899497143713
F8388_013957	Mixed		0.815235631652032
F8388_013987	Expressed-In-All		0.621462233043009
F8388_014108	Mixed		0.784633781128075
F8388_014432	Mixed		0.759147968558514
F8388_014525	Low_expressed		
F8388_014639	Expressed-In-All		0.815314643181612
F8388_014644	Low_expressed		
F8388_014732	Mixed		0.772048734707711
F8388_014736	Tissue-Specific	Root	0.984900697037054
F8388_014766	Expressed-In-All		0.422338062486291
F8388_014789	Expressed-In-All		0.730308345608771
F8388_014799	Tissue-Specific	Root	0.98693139299822
F8388_014802	Tissue-Specific	Root	0.945881468445256
F8388_014805	Mixed		0.832675483484403
F8388_014806	Mixed		0.827406134330978
F8388_014809	Expressed-In-All		0.805884238426516
F8388_014810	Mixed		0.729924787970177
F8388_014811	Low_expressed		
F8388_014812	Tissue-Specific	Root	0.994919210482084
F8388_014813	Tissue-Specific	Root	0.968687942063104
F8388_014814	Low_expressed		
F8388_014834	Mixed		0.805907801777648
F8388_014932	Expressed-In-All		0.712505043450801
F8388_015005	Tissue-Specific	Hypocotyl	0.949747838649045
F8388_015006	Mixed		0.810027792711416
F8388_015062	Mixed		0.83254098857705
F8388_015220	Expressed-In-All		0.910188473668981
F8388_015247	Tissue-Specific	Trichome	0.997638634782263
F8388_015329	Mixed		0.650422496846792
F8388_015330	Expressed-In-All		0.571163254309602
F8388_015344	Tissue-Specific	Root	0.931939064514312
F8388_015513	Expressed-In-All		0.796904056117295
F8388_015784	Group-Enriched	Seed; Root	0.961000616537581
F8388_015786	Mixed		0.551449241551474
F8388_015787	Group-Enriched	Flower_female; Induced_male_flower	0.905724698171168
F8388_015788	Expressed-In-All		0.712270617539749
F8388_015842	Expressed-In-All		0.697128953201685
F8388_015843	Expressed-In-All		0.786911066253909
F8388_015844	Expressed-In-All		0.737961565193396
F8388_015846	Low_expressed		
F8388_015850	Expressed-In-All		0.764065527562869
F8388_015851	Mixed		0.594071656714029
F8388_015925	Mixed		0.782181641943381
F8388_015927	Expressed-In-All		0.513015959584496
F8388_015990	Mixed		0.658567485449106
F8388_016023	Expressed-In-All		0.737805422631206
F8388_016149	Mixed		0.878376856705808
F8388_016244	Group-Enriched	Root; Hypocotyl	0.962258200067568
F8388_016351	Expressed-In-All		0.743975821827297
F8388_016408	Tissue-Specific	Trichome	0.911440752103941
F8388_016622	Tissue-Specific	Hypocotyl	0.978467741322772
F8388_016627	Low_expressed		
F8388_016912	Expressed-In-All		0.767001816844423
F8388_016953	Group-Enriched	Trichome; Root	0.840843911039862
F8388_017041	Tissue-Specific	Root	0.979072111286624
F8388_017042	Tissue-Specific	Root	0.987603527397957
F8388_017395	Expressed-In-All		0.482750115362426
